Track Name,Album_Name,Song_Type,Artist Name(s),Language,Release Year,Mood,Genre_category,Duration (mins),Popularity,Stream Category,Record Label,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Hellallallo ,Peddi,Movie,A.R. Rahman;Rakshita Suresh;Anantha Sreeram,Telugu,2026,Energetic,Dance,3.8,69,Medium,T-Series,0.779,0.695,-6.045,0.046,0.0293,0.00000111,0.0629,0.507,124.963
Rara Dheevara ,Swayambhu,Movie,Santhosh Venky;Ravi Basrur;Ramajogayya Sastry,Telugu,2026,Energetic,Dance,3.79,56,Medium,Times Music,0.622,0.958,-4.997,0.0858,0.0218,0.000557,0.632,0.347,129.986
Yetta Yetta ,Lenin,Movie,Thaman S;Sri Krishna;Bhaskarabhatla,Telugu,2026,Energetic,Dance,3.39,57,Medium,T-Series,0.571,0.886,-3.25,0.227,0.587,0.00000157,0.0499,0.928,172.272
Kamsahamnida ,Korean Kanakaraju,Movie,Sid Sriram;Thaman S;Kasarla Shyam,Telugu,2026,Happy,Pop,3.22,57,Medium,T-Series,0.862,0.674,-4.483,0.197,0.497,0.000412,0.257,0.728,115.008
Chamiki ,Youth - Telugu,Movie,G. V. Prakash;Ken Karunaas;Bhaskarabhatla,Telugu,2026,Energetic,Dance,2.86,72,Medium,GV Prakash,0.86,0.528,-8.627,0.19,0.699,0,0.0878,0.861,129.977
Sancharame ,EPIC - First Semester,Movie,Hesham Abdul Wahab;Gorati Venkanna,Telugu,2026,Happy,Pop,3.14,59,Medium,Aditya Music (India) Pvt Ltd,0.596,0.761,-7.444,0.0529,0.196,0.0000411,0.611,0.72,90.124
Rai Rai Raa Raa ,Peddi,Movie,A.R. Rahman;Anantha Sreeram,Telugu,2026,Energetic,Dance,4.43,70,Medium,T-Series,0.826,0.918,-4.875,0.0537,0.0379,0.0000299,0.106,0.822,128.016
Endhayya Saami ,Ranabaali,Movie,Shweta Mohan;Ajay Gogavale;Ramajogayya Sastry;Ajay-Atul,Telugu,2026,Energetic,Dance,1.32,62,Medium,T-Series,0.737,0.325,-10.678,0.0399,0.854,0.000401,0.107,0.933,134.926
Rubaroo ,Dacoit,Movie,Bheems Ceciroleo;Chinmayi;Bhaskarabhatla,Telugu,2026,Romantic,Soul,3.27,70,Medium,Sony Music Entertainment India Pvt. Ltd.,0.588,0.472,-8.711,0.0321,0.562,0.00000292,0.0973,0.361,119.96
Aaya Sher ,The Paradise,Movie,Anirudh Ravichander;Jangi Reddy;Arjun Chandy;Kasarla Shyam,Telugu,2026,Energetic,Dance,4.78,79,High,Saregama India Ltd,0.707,0.956,-4.537,0.154,0.126,0.000686,0.263,0.33,133.022
Aura of Ustaad ,Ustaad Bhagat Singh,Movie,Devi Sri Prasad;S.P. Abhishek;The Indian Choral Ensemble;Chandra Bose,Telugu,2026,Energetic,Dance,4.17,51,Medium,Sony Music Entertainment India Pvt. Ltd.,0.759,0.931,-8.12,0.13,0.255,0.00926,0.13,0.567,108.026
Thippukuntannav ,Band Melam,Movie,Vijai Bulganin;Ramu Rathod;Aditi Bhavaraju;Chandra Bose,Telugu,2026,Happy,Pop,3.71,57,Medium,Aditya Music (India) Pvt Ltd,0.893,0.835,-6.532,0.0706,0.393,0.00371,0.108,0.839,129.972
Nache Nache ,The RajaSaab,Movie,Thaman S;Nakash Aziz;Brinda;Farooq Qaiser;Raqueeb Alam;Usha Uthup,Telugu,2026,Happy,Pop,4.39,57,Medium,Saregama India Ltd,0.761,0.815,-4.662,0.0701,0.218,0.776,0.321,0.588,122.007
Vaammo Vaayyo ,Bhartha Mahasayulaku Wignyapthi,Movie,Bheems Ceciroleo;Swathi Reddy UK;Dev Pawar,Telugu,2026,Happy,Pop,3.03,63,Medium,Saregama India Ltd,0.788,0.947,-6.504,0.0929,0.617,0.00604,0.0699,0.78,90.022
Mega Victory Mass Song ,Mana ShankaraVaraPrasad Garu - Pandagaki Vasthunnaru,Movie,Bheems Ceciroleo;Nakash Aziz;Vishal Dadlani;Kasarla Shyam,Telugu,2025,Energetic,Dance,3.28,64,Medium,T-Series,0.699,0.87,-5.312,0.0809,0.349,0.00000455,0.359,0.702,145.983
Dacoit Kannepettaro Mix ,Dacoit,Movie,Raj-Koti;Gyaani;S. P. Balasubrahmanyam;Bhuvana Chandra,Telugu,2025,Energetic,Dance,1.31,63,Medium,Aditya Music (India) Pvt Ltd,0.57,0.8,-6.824,0.0401,0.091,0.711,0.131,0.0404,99.942
Sahana Sahana ,The Rajasaab,Movie,Thaman S;Vishal Mishra;Sruthi Ranjani;Krishna Kanth,Telugu,2025,Romantic,Soul,4.38,70,Medium,T-Series,0.807,0.828,-3.404,0.108,0.424,0.0000415,0.0786,0.762,98.999
Dekhlenge Saala ,Ustaad Bhagat Singh,Movie,Devi Sri Prasad;Vishal Dadlani;Haripriya;Bhaskarabhatla,Telugu,2025,Energetic,Dance,4.03,61,Medium,Sony Music Entertainment India Pvt. Ltd.,0.877,0.742,-6.854,0.208,0.277,0.00623,0.264,0.86,98.004
